1 97 107 131 75
1 158 119 125 197
1 136 94 140 181
1 83 101 125 106
1 106 102 203 139
1 142 124 130 171
1 55 142 133 166
1 68 66 111 126
1 116 97 129 180
1 149 129 207 164
1 72 68 136 214
1 70 130 215 80
1 142 118 122 159
1 92 130 150 73
1 75 156 158 160
1 81 113 151 206
1 117 136 114 227
1 41 141 168 124
1 59 131 143 192
1 162 111 185 218
2 73 171 116 147
2 109 151 163 70
2 69 85 124 117
2 60 164 193 90
2 33 113 173 100
2 138 135 139 132
2 1 159 187 75
2 92 133 160 95
2 75 171 138 93
2 116 99 134 82
2 160 205 126 131
2 114 160 150 124
2 84 167 200 71
2 93 203 145 175
2 82 197 150 61
2 89 142 133 17
2 113 142 183 106
2 107 160 168 104
2 137 129 140 110
2 108 225 103 89
3 148 76 120 144
3 216 75 151 144
3 163 104 132 169
3 164 116 119 145
3 147 87 129 114
3 125 114 117 136
3 86 109 82 131
3 144 81 78 116
3 124 107 79 136
3 127 107 148 155
3 110 92 117 198
3 139 81 98 138
3 158 120 50 160
3 180 102 48 162
3 147 86 102 169
3 149 93 101 138
3 215 89 106 174
3 144 71 188 172
3 178 70 101 150
3 147 63 85 113
