81 34 35 35 29 55
81 34 33 41 34 170
92 39 40 46 34 160
84 40 34 45 39 160
87 37 33 36 32 146
83 38 37 41 39 133
80 38 37 35 39 153
81 40 37 35 32 71
76 28 27 39 32 189
84 36 39 33 34 10
82 37 39 42 34 67
77 29 31 41 31 104
78 35 33 31 34 124
88 40 37 36 33 84
79 32 34 38 33 220
85 40 40 40 37 23
78 30 27 40 29 218
83 36 31 33 27 44
89 36 36 41 30 44
79 31 37 41 26 74
86 33 34 42 33 218
88 35 40 44 33 122
79 28 31 32 25 212
88 42 32 39 30 192
80 34 32 39 33 236
90 37 35 46 33 200
76 35 33 31 25 1
83 38 40 41 31 35
88 41 35 42 39 132
88 35 41 44 34 65
94 41 38 43 34 111
81 34 32 35 39 229
87 35 30 42 30 297
86 37 30 45 35 215
77 29 37 35 33 165
79 31 38 38 34 104
85 32 37 42 39 161
79 34 33 40 31 127
90 42 45 50 34 22
90 39 41 42 34 28
83 36 35 40 31 57
83 36 40 39 39 165
83 37 34 39 32 100
91 44 37 36 35 60
79 35 37 43 37 19
83 39 42 41 37 91
86 35 40 42 34 52
80 28 28 37 31 172
82 41 40 34 34 55
84 33 34 41 32 70
77 34 31 37 32 178
88 46 49 35 37 184
90 43 46 50 40 113
89 43 48 45 43 13
96 44 44 44 34 1
89 36 34 46 35 214
87 43 49 41 42 76
82 35 41 38 33 11
75 34 34 38 31 119
94 45 40 41 32 19
90 40 43 47 35 22
82 34 29 37 27 208
77 29 36 41 33 131
89 40 45 39 36 102
93 45 34 39 38 211
89 40 43 39 37 80
84 35 36 38 27 44
98 42 38 37 30 109
83 35 39 39 34 163
88 36 40 48 33 77
81 34 38 42 34 118
88 39 38 39 34 88
78 35 37 31 33 92
85 41 47 40 39 67
82 32 35 39 34 138
82 37 36 38 31 52
86 33 30 43 34 175
