1 101 67 101
1 98 83 98
1 116 85 116
1 103 85 103
1 97 81 97
1 112 71 112
1 100 82 100
1 107 86 107
1 85 82 85
1 117 84 117
1 92 76 92
1 79 72 79
1 89 77 89
1 98 86 98
1 84 78 84
1 80 66 80
1 133 100 133
1 118 75 118
1 76 67 76
1 85 78 85
1 58 69 58
1 105 77 105
1 108 85 108
1 72 68 72
1 100 86 100
1 82 82 82
1 63 75 63
1 103 74 103
1 85 68 85
1 95 79 95
1 91 68 91
1 97 78 97
1 102 80 102
1 69 64 69
1 95 80 95
1 66 69 66
1 60 63 60
1 101 76 101
1 94 84 94
1 110 87 110
1 90 77 90
1 65 72 65
1 101 78 101
1 91 80 91
1 124 81 124
1 103 75 103
1 95 72 95
1 79 69 79
1 110 88 110
1 86 71 86
1 86 75 86
1 88 72 88
1 97 74 97
1 94 81 94
1 87 70 87
1 81 81 81
1 85 60 85
1 102 83 102
1 73 75 73
1 105 87 105
1 101 78 101
1 109 79 109
1 93 84 93
1 86 83 86
1 101 80 101
1 76 68 76
1 137 88 137
1 79 70 79
1 93 86 93
1 91 76 91
1 77 71 77
1 106 84 106
1 83 76 83
1 110 66 110
1 121 93 121
1 160 92 160
1 123 77 123
1 85 72 85
1 81 75 81
1 85 76 85
1 85 84 85
1 113 83 113
1 67 71 67
1 108 96 108
1 80 84 80
1 129 84 129
1 47 62 47
1 112 89 112
1 54 60 54
1 105 82 105
1 48 63 48
1 85 70 85
1 93 75 93
1 127 94 127
1 113 66 113
1 117 88 117
1 93 75 93
1 85 79 85
1 83 79 83
1 102 83 102
0 84 34 0
0 83 31 0
0 108 43 0
0 106 31 0
0 58 25 0
0 82 43 0
0 85 33 0
0 68 18 0
0 82 19 0
0 76 35 0
0 59 38 0
0 78 37 0
0 94 37 0
0 108 34 0
0 96 32 0
0 130 34 0
0 77 26 0
0 110 38 0
0 102 36 0
0 63 30 0
0 93 38 0
0 47 27 0
0 77 35 0
0 71 37 0
0 94 41 0
0 75 19 0
0 90 27 0
0 98 36 0
0 67 31 0
0 70 39 0
0 88 47 0
0 119 28 0
0 95 37 0
0 86 42 0
0 58 27 0
0 80 27 0
0 95 34 0
0 74 25 0
0 88 32 0
0 90 39 0
0 84 26 0
0 103 38 0
0 96 42 0
0 53 26 0
0 69 25 0
0 122 43 0
0 94 35 0
0 98 33 0
0 85 42 0
0 102 37 0
0 97 36 0
0 81 36 0
0 70 41 0
0 76 29 0
0 83 37 0
0 103 32 0
0 45 33 0
0 56 22 0
0 102 38 0
0 113 39 0
0 47 42 0
0 121 29 0
0 115 36 0
0 50 34 0
0 78 27 0
0 83 31 0
0 62 38 0
0 84 37 0
0 102 33 0
0 60 36 0
0 107 41 0
0 77 22 0
0 70 22 0
0 69 34 0
0 101 30 0
0 69 29 0
0 91 33 0
0 101 48 0
0 106 36 0
0 95 31 0
0 82 32 0
0 93 44 0
0 70 28 0
0 93 27 0
0 111 36 0
0 82 39 0
0 83 33 0
0 106 31 0
0 71 38 0
0 74 33 0
0 74 30 0
0 68 38 0
0 96 36 0
0 74 31 0
0 71 29 0
0 91 29 0
0 112 33 0
0 68 31 0
0 93 33 0
0 107 33 0
